COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
TEXAS MATERIALS GROUP INC,"TEXAS MATERIALS GROUP INC,BEXAR,TEXAS,USA",29.5229302,-98.7187644,21.342,4.268,0.0,0.558,18.1045,7.855,0.476
EAGLE RAILCAR SERVICES-ELKHART TEXAS LP,"EAGLE RAILCAR SERVICES-ELKHART TEXAS LP,ANDERSON,TEXAS,USA",31.6244805,-95.5692852,3.84,2.4786,0.0,0.0122,90.8683,0.1665,0.1425
ENERGY TRANSFER FUEL LP,"ENERGY TRANSFER FUEL LP,ANDERSON,TEXAS,USA",31.9685988,-99.9018131,27.3465,35.2391,0.0,0.1399,7.0425,2.3254,2.3254
MOSBACHER ENERGY COMPANY,"MOSBACHER ENERGY COMPANY,ANDERSON,TEXAS,USA",31.9685988,-99.9018131,0.7387,0.368,0.0,27.9982,2.1299,0.0238,0.0238
ATMOS ENERGY CORP,"ATMOS ENERGY CORP,ANDERSON,TEXAS,USA",31.776932,-95.6457951,8.905,20.0755,0.0,0.0756,2.1866,0.8922,0.8922
ENTERPRISE  PRODUCTS  OPERATING  LLC,"ENTERPRISE  PRODUCTS  OPERATING  LLC,ANDERSON,TEXAS,USA",30.4876971,-95.9924515,26.816,93.3117,0.0,1.0838,1.1351,2.1039,2.1039
LEGACY RESERVES OPERATING LP,"LEGACY RESERVES OPERATING LP,ANDERSON,TEXAS,USA",30.4876971,-95.9924515,126.809,28.868,0.0,0.659,5.395,2.421,1.801
DCP OPERATING COMPANY  LP,"DCP OPERATING COMPANY  LP,ANDREWS,TEXAS,USA",32.3299988,-102.545516,53.2869,322.1627,0.0,0.0481,37.3555,3.0536,3.0536
SCOUT ENERGY MANAGEMENT LLC,"SCOUT ENERGY MANAGEMENT LLC,ANDREWS,TEXAS,USA",31.9685988,-99.9018131,22.1607,95.3432,0.0,14.9989,28.4643,3.3358,3.3358
PALMER OF TEXAS TANKS INC,"PALMER OF TEXAS TANKS INC,ANDREWS,TEXAS,USA",32.31871580000001,-102.5457155,0,0,0.0,0,5.2246,0.0026,0.0026
WASTE CONTROL SPECIALISTS INC,"WASTE CONTROL SPECIALISTS INC,ANDREWS,TEXAS,USA",32.3196036,-102.5484237,0.149,0.6741,0.0003,0.0452,0.8945,2.079,1.1437
GEORGIA-PACIFIC CHEMICALS LLC,"GEORGIA-PACIFIC CHEMICALS LLC,ANGELINA,TEXAS,USA",31.2704698,-94.645035,15.1578,2.652,0.0,0.027,19.6289,3.9226,3.9226
CLEMSA LUMBER COMPANY,"CLEMSA LUMBER COMPANY,ANGELINA,TEXAS,USA",31.4397621,-94.84616849999999,42.991,15.7635,0.0036,1.7911,18.3931,15.5786,8.6737
GEORGIA PACIFIC WOOD PRODUCTS LLC,"GEORGIA PACIFIC WOOD PRODUCTS LLC,ANGELINA,TEXAS,USA",31.2007592,-94.78726429999999,681.63,181.574,0.081,5.9831,798.2352,75.6835,52.093
ANGELINA FOREST PRODUCTS LLC,"ANGELINA FOREST PRODUCTS LLC,ANGELINA,TEXAS,USA",31.340321,-94.72879,68.0091,7.3323,0.0093,4.8681,456.0456,15.3181,10.464
NORTHERN NATURAL GAS CO,"NORTHERN NATURAL GAS CO,ARMSTRONG,TEXAS,USA",35.0012059,-101.4721296,27.5031,107.3758,0.0,1.157,2.0165,2.2293,2.2293
SAN MIGUEL ELECTRIC COOPERATIVE INC,"SAN MIGUEL ELECTRIC COOPERATIVE INC,ATASCOSA,TEXAS,USA",28.7141735,-98.46767419999999,3486.85,2357.7,0.4663,10411.6576,13.6872,89.7404,73.9563
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026,21.8349,40.5394,0.0,75.7116,14.9065,2.5831,2.5831
MARATHON OIL EF LLC,"MARATHON OIL EF LLC,ATASCOSA,TEXAS,USA",29.26483409999999,-98.7348026,35.6212,59.4699,0.0,123.4601,56.5175,4.9898,4.9898
ACME BRICK COMPANY,"ACME BRICK COMPANY,AUSTIN,TEXAS,USA",30.267153,-97.7430608,100.6072,6.5754,0.0065,3.0421,3.9521,8.1718,0.0115
NATURAL GAS PIPELINE CO OF AMERICA LLC,"NATURAL GAS PIPELINE CO OF AMERICA LLC,BAILEY,TEXAS,USA",31.9685988,-99.9018131,10.165,45.238,0.0,0.113,6.898,3.972,3.972
ENTERPRISE  PRODUCTS  OPERATING  LLC,"ENTERPRISE  PRODUCTS  OPERATING  LLC,BANDERA,TEXAS,USA",29.7266131,-99.0736462,72.4734,733.2666,0.0,0.2004,41.0813,3.4041,3.4041
LOWER COLORADO RIVER AUTHORITY,"LOWER COLORADO RIVER AUTHORITY,BASTROP,TEXAS,USA",30.0078741,-97.4120636,15.247,501.8793,0.0016,2.0898,12.1135,25.6869,25.6525
MERIDIAN BRICK LLC,"MERIDIAN BRICK LLC,BASTROP,TEXAS,USA",30.1104947,-97.3152701,85.2124,25.3447,0.0007,32.3468,6.0682,15.9489,9.8213
ACME BRICK COMPANY,"ACME BRICK COMPANY,BASTROP,TEXAS,USA",30.3243012,-97.29542010000002,33.2513,13.4759,0.0122,41.5371,0.327,47.8244,8.9278
GENTEX POWER CORPORATION,"GENTEX POWER CORPORATION,BASTROP,TEXAS,USA",30.1104947,-97.3152701,393.4187,201.8673,0.0,6.3758,7.2899,51.6861,50.9061
BASTROP ENERGY PARTNERS LP,"BASTROP ENERGY PARTNERS LP,BASTROP,TEXAS,USA",30.1104947,-97.3152701,36.7758,272.6296,0.0,5.3086,24.21,32.6144,32.6144
ENSIGN OPERATING LLC,"ENSIGN OPERATING LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999,65.5355,54.0943,0.0,274.9484,10.7595,3.1437,3.1437
KINDER MORGAN TEXAS PIPELINE LLC,"KINDER MORGAN TEXAS PIPELINE LLC,BEE,TEXAS,USA",31.9685988,-99.9018131,28.5751,105.3451,0.0,1.1096,22.2989,2.1544,2.1544
TRUNKLINE GAS COMPANY LLC,"TRUNKLINE GAS COMPANY LLC,BEE,TEXAS,USA",28.3896707,-97.5172024,0.0121,0.1556,0.0,0,1.0723,0.0004,0.0004
TPL SOUTHTEX PIPELINE COMPANY LLC,"TPL SOUTHTEX PIPELINE COMPANY LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999,78.2219,111.0651,0.0,0.5672,72.2691,8.195,8.195
