,ACCOUNT,RN,COMPANY,SITE,COUNTY,REGION,SIC,SIC DESCRIPTION,REPORTING YEAR,CO TPY,NOX TPY,Pb TPY,PM10 TPY,PM2.5 TPY,SO2 TPY,VOC TPY,ADDRESS,LATITUDE,LONGITUDE
0,918058B,RN102194693,TEXAS MATERIALS GROUP INC,BECKMAN ASPHALT PLANT 4 & 5,BEXAR,13.0,2951.0,PAVING MIXTURES AND BLOCKS,2020,21.342,4.268,0.0,7.855,0.476,0.558,18.1045,"TEXAS MATERIALS GROUP INC,BEXAR,TEXAS,USA",29.5229302,-98.7187644
1,AA0027U,RN102955150,EAGLE RAILCAR SERVICES-ELKHART TEXAS LP,ELKHART RAILCAR,ANDERSON,5.0,4789.0,"TRANSPORTATION SERVICES, NEC",2020,3.84,2.4786,0.0,0.1665,0.1425,0.0122,90.8683,"EAGLE RAILCAR SERVICES-ELKHART TEXAS LP,ANDERSON,TEXAS,USA",31.6244805,-95.5692852
2,AA0035V,RN100214501,ENERGY TRANSFER FUEL LP,BETHEL COMP STATION,ANDERSON,5.0,4922.0,NATURAL GAS TRANSMISSION,2020,27.3465,35.2391,0.0,2.3254,2.3254,0.1399,7.0425,"ENERGY TRANSFER FUEL LP,ANDERSON,TEXAS,USA",31.9685988,-99.9018131
3,AA0045S,RN100212042,MOSBACHER ENERGY COMPANY,RAM FIELD FACILITY,ANDERSON,5.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,0.7387,0.368,0.0,0.0238,0.0238,27.9982,2.1299,"MOSBACHER ENERGY COMPANY,ANDERSON,TEXAS,USA",31.9685988,-99.9018131
4,AA0064O,RN100542919,ATMOS ENERGY CORP,BETHEL STORAGE COMPRESSOR STATION,ANDERSON,5.0,4922.0,NATURAL GAS TRANSMISSION,2020,8.905,20.0755,0.0,0.8922,0.8922,0.0756,2.1866,"ATMOS ENERGY CORP,ANDERSON,TEXAS,USA",31.776932,-95.6457951
5,AA0069E,RN103093290,ENTERPRISE  PRODUCTS  OPERATING  LLC,BETHEL COMPRESSOR STATION,ANDERSON,5.0,4922.0,NATURAL GAS TRANSMISSION,2020,26.816,93.3117,0.0,2.1039,2.1039,1.0838,1.1351,"ENTERPRISE  PRODUCTS  OPERATING  LLC,ANDERSON,TEXAS,USA",30.4876971,-95.9924515
6,AA0096B,RN100222223,LEGACY RESERVES OPERATING LP,BETHEL GAS TREATING FACILITY,ANDERSON,5.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,126.809,28.868,0.0,2.421,1.801,0.659,5.395,"LEGACY RESERVES OPERATING LP,ANDERSON,TEXAS,USA",30.4876971,-95.9924515
7,AB0011B,RN100219047,DCP OPERATING COMPANY  LP,ANDREWS BOOSTER,ANDREWS,7.0,1311.0,CRUDE PETROLEUM & NATURAL GAS,2020,53.2869,322.1627,0.0,3.0536,3.0536,0.0481,37.3555,"DCP OPERATING COMPANY  LP,ANDREWS,TEXAS,USA",32.3299988,-102.545516
8,AB0012W,RN100218684,DCP OPERATING COMPANY  LP,FULLERTON GAS PLANT,ANDREWS,7.0,1321.0,NATURAL GAS LIQUIDS,2020,44.1035,111.6314,0.0,1.2789,1.2789,0.0409,31.7851,"DCP OPERATING COMPANY  LP,ANDREWS,TEXAS,USA",32.3299988,-102.545516
9,AB0015Q,RN102523578,SCOUT ENERGY MANAGEMENT LLC,DOLLARHIDE GAS PLANT,ANDREWS,7.0,1321.0,NATURAL GAS LIQUIDS,2020,22.1607,95.3432,0.0,3.3358,3.3358,14.9989,28.4643,"SCOUT ENERGY MANAGEMENT LLC,ANDREWS,TEXAS,USA",31.9685988,-99.9018131
